param,repetition,real_time,user_time,sys_time,max_memory,real_time_mean,real_time_ci,user_time_mean,sys_time_mean,max_memory_mean
N1000,1,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,968.0
N1000,2,0.0,0.0,0.0,1076.0,0.0,0.0,0.0,0.0,968.0
N1000,3,0.0,0.0,0.0,948.0,0.0,0.0,0.0,0.0,968.0
N2000,1,0.0,0.0,0.0,888.0,0.0,0.0,0.0,0.0,885.3333333333334
N2000,2,0.0,0.0,0.0,884.0,0.0,0.0,0.0,0.0,885.3333333333334
N2000,3,0.0,0.0,0.0,884.0,0.0,0.0,0.0,0.0,885.3333333333334
N5000,1,0.0,0.0,0.0,884.0,0.0,0.0,0.0,0.0,908.0
N5000,2,0.0,0.0,0.0,888.0,0.0,0.0,0.0,0.0,908.0
N5000,3,0.0,0.0,0.0,952.0,0.0,0.0,0.0,0.0,908.0
